# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,14.51148445154033,4.4805145324576365,-85.04288365179475,0,3.0,-0.19038160504540483,0.0,0.0,0.0
 0.08127243772175806,14.512340586768458,4.470643777431692,-85.04288365179475,0.24381731316527416,3.0,-0.19038160504540483,0.0,-3.1927334837465744,0.0
 0.11539089047114826,14.513191219638447,4.460615015128271,-85.15181477830136,0.3461726714134447,2.9999999999999987,-0.18062571451638865,0.0,-3.963308920762952,0.0
 0.1418754289873324,14.514036344653432,4.450429647246997,-85.25678118606484,0.4256262869619972,3.000000000000002,-0.17156162304683867,0.0,-4.483139219178059,0.0
 0.1644537590241269,14.514875956316555,4.4400890754875,-85.35800298295635,0.49336127707238076,3.0000000000000027,-0.16312860722815706,0.0,-4.857638748527815,0.0
 0.18456259441934908,14.515710049130954,4.429594701549403,-85.45568444095994,0.5536877832580472,2.9999999999999973,-0.1552722551866949,0.0,-5.134349022064345,0.0
 0.20293511878510878,14.516538617599766,4.418947927132334,-85.55001539347015,0.6088053563553264,3.000000000000003,-0.14794371338588913,0.0,-5.340330338877336,0.0
 0.2200046797341412,14.51736165622613,4.408150153935919,-85.64117248767758,0.6600140392024236,2.9999999999999982,-0.1410990346483121,0.0,-5.49293508772196,0.0
 0.23605216985655886,14.518179159513188,4.397202783659784,-85.72932030924088,0.7081565095696766,2.9999999999999982,-0.1346986120245644,0.0,-5.604133068320996,0.0
 0.2512716665693131,14.518991121964076,4.3861072180035565,-85.81461239405202,0.7538149997079392,2.999999999999993,-0.1287066859001233,0.0,-5.682596159857558,0.0
 0.2658037120816735,14.519797538081932,4.37486485866686,-85.89719214007545,0.7974111362450204,2.9999999999999925,-0.1230909144587306,0.0,-5.734830477453415,0.0
 0.2797538176508234,14.520598402369895,4.363477107349324,-85.9771936306571,0.83926145295247,3.0,-0.11782199794711262,0.0,-5.765845759664272,0.0
 0.29320349210765395,14.521393709331107,4.351945365750571,-86.05474237909286,0.8796104763229615,2.9999999999999916,-0.11287334930759288,0.0,-5.779577183886192,0.0
 0.3062171817946254,14.522183453468703,4.340271035570231,-86.12995600308587,0.918651545383876,3.0,-0.10822080489322723,0.0,-5.7791646524850195,0.0
 0.31884683294480537,14.522967629285821,4.328455518507929,-86.2029448365862,0.9565404988344157,2.9999999999999956,-0.1038423707829978,0.0,-5.767145165311335,0.0
 0.3311350010545911,14.523746231285603,4.3165002162632895,-86.27381248589109,0.9934050031637729,3.0,-0.09971799771995142,0.0,-5.745589612879369,0.0
 0.34311703499106666,14.524519253971187,4.304406530535942,-86.34265633561768,1.0293511049731996,3.0,-0.09582938298767932,0.0,-5.716202670116191,0.0
 0.3548226511251718,14.52528669184571,4.292175863025508,-86.4095680098188,1.064467953375515,3.0,-0.09215979580692278,0.0,-5.680397370655813,0.0
 0.3662770932614735,14.526048539412313,4.279809615431619,-86.47463379281217,1.0988312797844202,3.000000000000005,-0.08869392094870392,0.0,-5.639351827716083,0.0
 0.37750200400883516,14.526804791174134,4.267309189453899,-86.53793501375127,1.1325060120265051,3.0,-0.08541772088505753,0.0,-5.594053073069591,0.0
 0.388516090575758,14.527555441634311,4.254675986791973,-86.599548398558,1.1655482717272734,2.99999999999998,-0.08231831277276075,0.0,-5.5453313970003775,0.0
 0.3993356411931936,14.528300485295981,4.24191140914547,-86.65954639229831,1.1980069235795803,3.0000000000000053,-0.07938385904671579,0.0,-5.493887588774282,0.0
 0.40997493108432215,14.529039916662287,4.229016858214013,-86.71799745498456,1.229924793252966,3.0000000000000053,-0.0766034697552863,0.0,-5.440314759760678,0.0
 0.42044654547056226,14.529773730236364,4.215993735697232,-86.77496633328853,1.2613396364116862,2.9999999999999893,-0.07396711398388701,0.0,-5.385115977781972,0.0
 0.4307616393770318,14.530501920521353,4.20284344329475,-86.83051431029659,1.292284918131095,3.0,-0.07146554298604291,0.0,-5.328718658927406,0.0
 0.4409301486748095,14.531224482020392,4.189567382706193,-86.88469943552514,1.3227904460244282,3.0000000000000218,-0.0690902189273728,0.0,-5.271486377717419,0.0
 0.4509609630606583,14.531941409236618,4.176166955631191,-86.93757673691753,1.3528828891819746,3.0000000000000053,-0.0668332519358001,0.0,-5.213728618286152,0.0
 0.4608620690105136,14.532652696673173,4.162643563769367,-86.98919841636099,1.3825862070315404,3.0,-0.06468734340667712,0.0,-5.155708901110131,0.0
 0.4706406688152941,14.533358338833192,4.148998608820349,-87.03961403041488,1.4119220064458822,3.000000000000017,-0.06264573459409005,0.0,-5.0976515413381085,0.0
 0.48030328039402975,14.534058330219818,4.135233492483763,-87.08887065722257,1.440909841182089,2.9999999999999942,-0.06070216082398658,0.0,-5.039747360273405,0.0
 0.48985582152974827,14.534752665336187,4.1213496164592325,-87.13701305119523,1.4695674645892447,3.0000000000000058,-0.05885080964721522,0.0,-4.982158467686865,0.0
 0.4993036813855254,14.535441338685436,4.107348382446388,-87.1840837861772,1.4979110441565762,3.0000000000000115,-0.05708628278440817,0.0,-4.925022320918302,0.0
 0.5086517815600501,14.536124344770709,4.093231192144853,-87.23012338819491,1.5259553446801504,3.000000000000012,-0.05540356253378042,0.0,-4.868455195381519,0.0
 0.5179046284837291,14.53680167809514,4.078999447254255,-87.27517045887257,1.5537138854511874,3.0,-0.05379798020072402,0.0,-4.812555088992191,0.0
